date,Temperature,Humidity,Light,CO2,HumidityRatio,Occupancy,source_split,timestamp,hour,dayofweek,co2_rolling_mean_10,light_rolling_mean_10,co2_delta
2015-02-02 14:19:00,23.7,26.272,585.2,749.2,0.0047641630241641,1,test1,2015-02-02 14:19:00,14,0,749.2,585.2,0.0
2015-02-02 14:19:59,23.718,26.29,578.4,760.4,0.0047726609921251,1,test1,2015-02-02 14:19:59,14,0,754.8,581.8,11.199999999999932
2015-02-02 14:21:00,23.73,26.23,572.666666666667,769.666666666667,0.0047651525524654,1,test1,2015-02-02 14:21:00,14,0,759.7555555555556,578.7555555555556,9.266666666666993
2015-02-02 14:22:00,23.7225,26.125,493.75,774.75,0.0047437733559968,1,test1,2015-02-02 14:22:00,14,0,763.5041666666667,557.5041666666667,5.08333333333303
2015-02-02 14:23:00,23.754,26.2,488.6,779.0,0.0047665939999861,1,test1,2015-02-02 14:23:00,14,0,766.6033333333334,543.7233333333334,4.25
2015-02-02 14:23:59,23.76,26.26,568.666666666667,790.0,0.0047793324316345,1,test1,2015-02-02 14:23:59,14,0,770.5027777777779,547.8805555555556,11.0
2015-02-02 14:25:00,23.73,26.29,536.333333333333,798.0,0.0047761363327489,1,test1,2015-02-02 14:25:00,14,0,774.4309523809525,546.2309523809524,8.0
2015-02-02 14:25:59,23.754,26.29,509.0,797.0,0.0047830937083903,1,test1,2015-02-02 14:25:59,14,0,777.2520833333334,541.5770833333333,-1.0
2015-02-02 14:26:59,23.754,26.35,476.0,803.2,0.0047940939966204,1,test1,2015-02-02 14:26:59,14,0,780.1351851851853,534.2907407407407,6.2000000000000455
2015-02-02 14:28:00,23.736,26.39,510.0,809.0,0.0047961887103893,1,test1,2015-02-02 14:28:00,14,0,783.0216666666668,531.8616666666667,5.7999999999999545
2015-02-02 14:29:00,23.745,26.445,481.5,815.25,0.0048088862206771,1,test1,2015-02-02 14:29:00,14,0,789.6266666666668,521.4916666666667,6.25
2015-02-02 14:30:00,23.7,26.56,481.8,824.0,0.0048167933677358,1,test1,2015-02-02 14:30:00,14,0,795.9866666666667,511.83166666666665,8.75
2015-02-02 14:31:00,23.7,26.6,475.25,832.0,0.0048241038367487,1,test1,2015-02-02 14:31:00,14,0,802.22,502.09,8.0
2015-02-02 14:31:59,23.7,26.7,469.0,845.333333333333,0.0048423807553356,1,test1,2015-02-02 14:31:59,14,0,809.2783333333333,499.61499999999995,13.33333333333303
2015-02-02 14:32:59,23.7,26.774,464.0,852.4,0.0048559063612897,1,test1,2015-02-02 14:32:59,14,0,816.6183333333332,497.15500000000003,7.066666666666947
2015-02-02 14:34:00,23.7,26.89,464.0,861.0,0.0048771098371907,1,test1,2015-02-02 14:34:00,14,0,823.7183333333332,486.68833333333333,8.600000000000023
2015-02-02 14:35:00,23.7,26.9725,455.0,880.0,0.004892190768364,1,test1,2015-02-02 14:35:00,14,0,831.9183333333333,478.555,19.0
2015-02-02 14:36:00,23.6,26.89,454.0,891.0,0.0048475944139699,1,test1,2015-02-02 14:36:00,14,0,841.3183333333333,473.055,11.0
2015-02-02 14:37:00,23.64,26.976,458.0,897.6,0.0048750447811301,1,test1,2015-02-02 14:37:00,14,0,850.7583333333332,471.255,6.600000000000023
2015-02-02 14:38:00,23.65,27.05,464.0,900.5,0.0048914915892962,1,test1,2015-02-02 14:38:00,14,0,859.9083333333332,466.65500000000003,2.8999999999999773
2015-02-02 14:38:59,23.64,27.1,473.0,908.8,0.0048976302434582,1,test1,2015-02-02 14:38:59,14,0,869.2633333333333,465.805,8.299999999999955
2015-02-02 14:39:59,23.6,27.16,464.0,918.0,0.0048966518452253,1,test1,2015-02-02 14:39:59,14,0,878.6633333333333,464.025,9.200000000000045
2015-02-02 14:41:00,23.6,27.236,498.4,925.2,0.0049104619885559,1,test1,2015-02-02 14:41:00,14,0,887.9833333333332,466.34,7.2000000000000455
2015-02-02 14:42:00,23.6,27.29,530.2,929.4,0.0049202748285747,1,test1,2015-02-02 14:42:00,14,0,896.39,472.46000000000004,4.199999999999932
2015-02-02 14:43:00,23.6,27.33,533.6,936.4,0.0049275437970155,1,test1,2015-02-02 14:43:00,14,0,904.79,479.41999999999996,7.0
2015-02-02 14:44:00,23.6,27.34,524.25,950.0,0.0049293610654639,1,test1,2015-02-02 14:44:00,14,0,913.6899999999999,485.445,13.600000000000023
2015-02-02 14:44:59,23.625,27.3925,498.666666666667,961.0,0.0049464057474414,1,test1,2015-02-02 14:44:59,14,0,921.79,489.81166666666667,11.0
2015-02-02 14:45:59,23.6,27.39,516.333333333333,963.0,0.0049384475657387,1,test1,2015-02-02 14:45:59,14,0,928.99,496.0450000000001,2.0
2015-02-02 14:47:00,23.6,27.412,501.2,958.6,0.0049424457093031,1,test1,2015-02-02 14:47:00,14,0,935.0899999999999,500.36500000000007,-4.399999999999977
2015-02-02 14:48:00,23.6,27.5,522.0,965.333333333333,0.0049584387935172,1,test1,2015-02-02 14:48:00,14,0,941.5733333333334,506.1650000000001,6.733333333333007
