timestamp,Temperature,Humidity,Light,CO2,HumidityRatio,occupancy_probability,actual_occupancy,predicted_occupancy,anomaly_score,is_anomaly,decision,command_hint,safety_note,safety_reason
2015-02-18 06:00:00,20.79,26.39,0.0,1486.0,0.0040036854333781,0.0143,0,0,3.2079,True,SAFETY_HOLD,NO_AUTO_CONTROL,Dữ liệu có dấu hiệu bất thường hoặc độ tin cậy thấp; không gửi lệnh điều khiển tự động.,Anomaly score cao (3.21)
2015-02-18 06:01:00,20.79,26.445,0.0,1489.0,0.0040120834277388,0.0145,0,0,3.219,True,SAFETY_HOLD,NO_AUTO_CONTROL,Dữ liệu có dấu hiệu bất thường hoặc độ tin cậy thấp; không gửi lệnh điều khiển tự động.,Anomaly score cao (3.22)
2015-02-18 06:02:00,20.79,26.5,0.0,1492.0,0.004020481647425,0.0146,0,0,3.2301,True,SAFETY_HOLD,NO_AUTO_CONTROL,Dữ liệu có dấu hiệu bất thường hoặc độ tin cậy thấp; không gửi lệnh điều khiển tự động.,Anomaly score cao (3.23)
2015-02-18 06:03:00,20.79,26.5,0.0,1516.0,0.004020481647425,0.0157,0,0,3.3189,True,SAFETY_HOLD,NO_AUTO_CONTROL,Dữ liệu có dấu hiệu bất thường hoặc độ tin cậy thấp; không gửi lệnh điều khiển tự động.,Anomaly score cao (3.32)
2015-02-18 06:04:00,20.79,26.5,0.0,1533.0,0.004020481647425,0.0165,0,0,3.3818,True,SAFETY_HOLD,NO_AUTO_CONTROL,Dữ liệu có dấu hiệu bất thường hoặc độ tin cậy thấp; không gửi lệnh điều khiển tự động.,Anomaly score cao (3.38)
2015-02-18 06:04:59,20.79,26.5,0.0,1552.66666666667,0.004020481647425,0.0175,0,0,3.4545,True,SAFETY_HOLD,NO_AUTO_CONTROL,Dữ liệu có dấu hiệu bất thường hoặc độ tin cậy thấp; không gửi lệnh điều khiển tự động.,Anomaly score cao (3.45)
2015-02-18 06:06:00,20.745,26.5,0.0,1561.5,0.0040092844790724,0.0188,0,0,3.4872,True,SAFETY_HOLD,NO_AUTO_CONTROL,Dữ liệu có dấu hiệu bất thường hoặc độ tin cậy thấp; không gửi lệnh điều khiển tự động.,Anomaly score cao (3.49)
2015-02-18 06:07:00,20.79,26.5,0.0,1569.5,0.004020481647425,0.0184,0,0,3.5168,True,SAFETY_HOLD,NO_AUTO_CONTROL,Dữ liệu có dấu hiệu bất thường hoặc độ tin cậy thấp; không gửi lệnh điều khiển tự động.,Anomaly score cao (3.52)
2015-02-18 06:08:00,20.79,26.5,0.0,1563.5,0.004020481647425,0.0181,0,0,3.4946,True,SAFETY_HOLD,NO_AUTO_CONTROL,Dữ liệu có dấu hiệu bất thường hoặc độ tin cậy thấp; không gửi lệnh điều khiển tự động.,Anomaly score cao (3.49)
2015-02-18 06:08:59,20.79,26.5,0.0,1555.5,0.004020481647425,0.0177,0,0,3.465,True,SAFETY_HOLD,NO_AUTO_CONTROL,Dữ liệu có dấu hiệu bất thường hoặc độ tin cậy thấp; không gửi lệnh điều khiển tự động.,Anomaly score cao (3.46)
